generated_scenario;speed (km/s);composition;distance (km);weight (g);angle (degrees)
262;10;ICE;4000;1;1
263;10;ICE;4000;1;15
264;10;ICE;4000;1;30
265;10;ICE;4000;10000;1
266;10;ICE;4000;10000;15
267;10;ICE;4000;10000;30
268;10;ICE;4000;20000;1
269;10;ICE;4000;20000;15
270;10;ICE;4000;20000;30
271;10;ICE;1001;1;31
272;10;ICE;1001;1;45
273;10;ICE;1001;1;60
274;10;ICE;1001;10000;31
275;10;ICE;1001;10000;45
276;10;ICE;1001;10000;60
277;10;ICE;1001;20000;31
278;10;ICE;1001;20000;45
279;10;ICE;1001;20000;60
280;10;ICE;2500;1;31
281;10;ICE;2500;1;45
282;10;ICE;2500;1;60
283;10;ICE;2500;10000;31
284;10;ICE;2500;10000;45
285;10;ICE;2500;10000;60
286;10;ICE;2500;20000;31
287;10;ICE;2500;20000;45
288;10;ICE;2500;20000;60
289;10;ICE;4000;1;31
290;10;ICE;4000;1;45
291;10;ICE;4000;1;60
292;10;ICE;4000;10000;31
293;10;ICE;4000;10000;45
294;10;ICE;4000;10000;60
295;10;ICE;4000;20000;31
296;10;ICE;4000;20000;45
297;10;ICE;4000;20000;60
298;10;ICE;1001;1;61
299;10;ICE;1001;1;75
300;10;ICE;1001;1;90
301;10;ICE;1001;10000;61
302;10;ICE;1001;10000;75
303;10;ICE;1001;10000;90
304;10;ICE;1001;20000;61
305;10;ICE;1001;20000;75
306;10;ICE;1001;20000;90
307;10;ICE;2500;1;61
308;10;ICE;2500;1;75
309;10;ICE;2500;1;90
310;10;ICE;2500;10000;61
311;10;ICE;2500;10000;75
312;10;ICE;2500;10000;90
313;10;ICE;2500;20000;61
314;10;ICE;2500;20000;75
315;10;ICE;2500;20000;90
316;10;ICE;4000;1;61
317;10;ICE;4000;1;75
318;10;ICE;4000;1;90
319;10;ICE;4000;10000;61
320;10;ICE;4000;10000;75
321;10;ICE;4000;10000;90
322;10;ICE;4000;20000;61
323;10;ICE;4000;20000;75
324;10;ICE;4000;20000;90
325;10;ICE;1001;20001;1
326;10;ICE;1001;20001;15
327;10;ICE;1001;20001;30
328;10;ICE;1001;30000;1
329;10;ICE;1001;30000;15
330;10;ICE;1001;30000;30
331;10;ICE;1001;40000;1
332;10;ICE;1001;40000;15
333;10;ICE;1001;40000;30
334;10;ICE;2500;20001;1
335;10;ICE;2500;20001;15
336;10;ICE;2500;20001;30
337;10;ICE;2500;30000;1
338;10;ICE;2500;30000;15
339;10;ICE;2500;30000;30
340;10;ICE;2500;40000;1
341;10;ICE;2500;40000;15
342;10;ICE;2500;40000;30
343;10;ICE;4000;20001;1
344;10;ICE;4000;20001;15
345;10;ICE;4000;20001;30
346;10;ICE;4000;30000;1
347;10;ICE;4000;30000;15
348;10;ICE;4000;30000;30
349;10;ICE;4000;40000;1
350;10;ICE;4000;40000;15
351;10;ICE;4000;40000;30
352;10;ICE;1001;20001;31
353;10;ICE;1001;20001;45
354;10;ICE;1001;20001;60
355;10;ICE;1001;30000;31
356;10;ICE;1001;30000;45
357;10;ICE;1001;30000;60
358;10;ICE;1001;40000;31
359;10;ICE;1001;40000;45
360;10;ICE;1001;40000;60
361;10;ICE;2500;20001;31
362;10;ICE;2500;20001;45
363;10;ICE;2500;20001;60
364;10;ICE;2500;30000;31
365;10;ICE;2500;30000;45
366;10;ICE;2500;30000;60
367;10;ICE;2500;40000;31
368;10;ICE;2500;40000;45
369;10;ICE;2500;40000;60
370;10;ICE;4000;20001;31
371;10;ICE;4000;20001;45
372;10;ICE;4000;20001;60
373;10;ICE;4000;30000;31
374;10;ICE;4000;30000;45
375;10;ICE;4000;30000;60
376;10;ICE;4000;40000;31
377;10;ICE;4000;40000;45
378;10;ICE;4000;40000;60
379;10;ICE;1001;20001;61
380;10;ICE;1001;20001;75
381;10;ICE;1001;20001;90
382;10;ICE;1001;30000;61
383;10;ICE;1001;30000;75
384;10;ICE;1001;30000;90
385;10;ICE;1001;40000;61
386;10;ICE;1001;40000;75
387;10;ICE;1001;40000;90
388;10;ICE;2500;20001;61
389;10;ICE;2500;20001;75
390;10;ICE;2500;20001;90
391;10;ICE;2500;30000;61
392;10;ICE;2500;30000;75
393;10;ICE;2500;30000;90
394;10;ICE;2500;40000;61
395;10;ICE;2500;40000;75
396;10;ICE;2500;40000;90
397;10;ICE;4000;20001;61
398;10;ICE;4000;20001;75
399;10;ICE;4000;20001;90
400;10;ICE;4000;30000;61
401;10;ICE;4000;30000;75
402;10;ICE;4000;30000;90
403;10;ICE;4000;40000;61
404;10;ICE;4000;40000;75
405;10;ICE;4000;40000;90
406;10;ICE;1001;40001;1
407;10;ICE;1001;40001;15
408;10;ICE;1001;40001;30
409;10;ICE;1001;50000;1
410;10;ICE;1001;50000;15
411;10;ICE;1001;50000;30
412;10;ICE;1001;60000;1
413;10;ICE;1001;60000;15
414;10;ICE;1001;60000;30
415;10;ICE;2500;40001;1
416;10;ICE;2500;40001;15
417;10;ICE;2500;40001;30
418;10;ICE;2500;50000;1
419;10;ICE;2500;50000;15
420;10;ICE;2500;50000;30
421;10;ICE;2500;60000;1
422;10;ICE;2500;60000;15
423;10;ICE;2500;60000;30
424;10;ICE;4000;40001;1
425;10;ICE;4000;40001;15
426;10;ICE;4000;40001;30
427;10;ICE;4000;50000;1
428;10;ICE;4000;50000;15
429;10;ICE;4000;50000;30
430;10;ICE;4000;60000;1
431;10;ICE;4000;60000;15
432;10;ICE;4000;60000;30
433;10;ICE;1001;40001;31
434;10;ICE;1001;40001;45
435;10;ICE;1001;40001;60
436;10;ICE;1001;50000;31
437;10;ICE;1001;50000;45
438;10;ICE;1001;50000;60
439;10;ICE;1001;60000;31
440;10;ICE;1001;60000;45
441;10;ICE;1001;60000;60
442;10;ICE;2500;40001;31
443;10;ICE;2500;40001;45
444;10;ICE;2500;40001;60
445;10;ICE;2500;50000;31
446;10;ICE;2500;50000;45
447;10;ICE;2500;50000;60
448;10;ICE;2500;60000;31
449;10;ICE;2500;60000;45
450;10;ICE;2500;60000;60
451;10;ICE;4000;40001;31
452;10;ICE;4000;40001;45
453;10;ICE;4000;40001;60
454;10;ICE;4000;50000;31
455;10;ICE;4000;50000;45
456;10;ICE;4000;50000;60
457;10;ICE;4000;60000;31
458;10;ICE;4000;60000;45
459;10;ICE;4000;60000;60
460;10;ICE;1001;40001;61
461;10;ICE;1001;40001;75
462;10;ICE;1001;40001;90
463;10;ICE;1001;50000;61
464;10;ICE;1001;50000;75
465;10;ICE;1001;50000;90
466;10;ICE;1001;60000;61
467;10;ICE;1001;60000;75
468;10;ICE;1001;60000;90
469;10;ICE;2500;40001;61
470;10;ICE;2500;40001;75
471;10;ICE;2500;40001;90
472;10;ICE;2500;50000;61
473;10;ICE;2500;50000;75
474;10;ICE;2500;50000;90
475;10;ICE;2500;60000;61
476;10;ICE;2500;60000;75
477;10;ICE;2500;60000;90
478;10;ICE;4000;40001;61
479;10;ICE;4000;40001;75
480;10;ICE;4000;40001;90
481;10;ICE;4000;50000;61
482;10;ICE;4000;50000;75
483;10;ICE;4000;50000;90
484;10;ICE;4000;60000;61
485;10;ICE;4000;60000;75
486;10;ICE;4000;60000;90
487;10;ICE;100000000;20001;1
488;10;ICE;100000000;20001;15
489;10;ICE;100000000;20001;30
490;10;ICE;100000000;30000;1
491;10;ICE;100000000;30000;15
492;10;ICE;100000000;30000;30
493;10;ICE;100000000;40000;1
494;10;ICE;100000000;40000;15
495;10;ICE;100000000;40000;30
496;10;ICE;200000000;20001;1
497;10;ICE;200000000;20001;15
498;10;ICE;200000000;20001;30
499;10;ICE;200000000;30000;1
500;10;ICE;200000000;30000;15
501;10;ICE;200000000;30000;30
502;10;ICE;200000000;40000;1
503;10;ICE;200000000;40000;15
504;10;ICE;200000000;40000;30
505;10;ICE;300000000;20001;1
506;10;ICE;300000000;20001;15
507;10;ICE;300000000;20001;30
508;10;ICE;300000000;30000;1
509;10;ICE;300000000;30000;15
510;10;ICE;300000000;30000;30
511;10;ICE;300000000;40000;1
512;10;ICE;300000000;40000;15
513;10;ICE;300000000;40000;30
514;10;ICE;100000000;20001;31
515;10;ICE;100000000;20001;45
516;10;ICE;100000000;20001;60
517;10;ICE;100000000;30000;31
518;10;ICE;100000000;30000;45
519;10;ICE;100000000;30000;60
520;10;ICE;100000000;40000;31
521;10;ICE;100000000;40000;45
522;10;ICE;100000000;40000;60
523;10;ICE;200000000;20001;31
524;10;ICE;200000000;20001;45
525;10;ICE;200000000;20001;60
526;10;ICE;200000000;30000;31
527;10;ICE;200000000;30000;45
528;10;ICE;200000000;30000;60
529;10;ICE;200000000;40000;31
530;10;ICE;200000000;40000;45
531;10;ICE;200000000;40000;60
532;10;ICE;300000000;20001;31
533;10;ICE;300000000;20001;45
534;10;ICE;300000000;20001;60
535;10;ICE;300000000;30000;31
536;10;ICE;300000000;30000;45
537;10;ICE;300000000;30000;60
538;10;ICE;300000000;40000;31
539;10;ICE;300000000;40000;45
540;10;ICE;300000000;40000;60
541;10;ICE;100000000;20001;61
542;10;ICE;100000000;20001;75
543;10;ICE;100000000;20001;90
544;10;ICE;100000000;30000;61
545;10;ICE;100000000;30000;75
546;10;ICE;100000000;30000;90
547;10;ICE;100000000;40000;61
548;10;ICE;100000000;40000;75
549;10;ICE;100000000;40000;90
550;10;ICE;200000000;20001;61
551;10;ICE;200000000;20001;75
552;10;ICE;200000000;20001;90
553;10;ICE;200000000;30000;61
554;10;ICE;200000000;30000;75
555;10;ICE;200000000;30000;90
556;10;ICE;200000000;40000;61
557;10;ICE;200000000;40000;75
558;10;ICE;200000000;40000;90
559;10;ICE;300000000;20001;61
560;10;ICE;300000000;20001;75
561;10;ICE;300000000;20001;90
562;10;ICE;300000000;30000;61
563;10;ICE;300000000;30000;75
564;10;ICE;300000000;30000;90
565;10;ICE;300000000;40000;61
566;10;ICE;300000000;40000;75
567;10;ICE;300000000;40000;90
568;10;ICE;100000000;40001;1
569;10;ICE;100000000;40001;15
570;10;ICE;100000000;40001;30
571;10;ICE;100000000;50000;1
572;10;ICE;100000000;50000;15
573;10;ICE;100000000;50000;30
574;10;ICE;100000000;60000;1
575;10;ICE;100000000;60000;15
576;10;ICE;100000000;60000;30
577;10;ICE;200000000;40001;1
578;10;ICE;200000000;40001;15
579;10;ICE;200000000;40001;30
580;10;ICE;200000000;50000;1
581;10;ICE;200000000;50000;15
582;10;ICE;200000000;50000;30
583;10;ICE;200000000;60000;1
584;10;ICE;200000000;60000;15
585;10;ICE;200000000;60000;30
586;10;ICE;300000000;40001;1
587;10;ICE;300000000;40001;15
588;10;ICE;300000000;40001;30
589;10;ICE;300000000;50000;1
590;10;ICE;300000000;50000;15
591;10;ICE;300000000;50000;30
592;10;ICE;300000000;60000;1
593;10;ICE;300000000;60000;15
594;10;ICE;300000000;60000;30
595;10;ICE;100000000;40001;31
596;10;ICE;100000000;40001;45
597;10;ICE;100000000;40001;60
598;10;ICE;100000000;50000;31
599;10;ICE;100000000;50000;45
600;10;ICE;100000000;50000;60
601;10;ICE;100000000;60000;31
602;10;ICE;100000000;60000;45
603;10;ICE;100000000;60000;60
604;10;ICE;200000000;40001;31
605;10;ICE;200000000;40001;45
606;10;ICE;200000000;40001;60
607;10;ICE;200000000;50000;31
608;10;ICE;200000000;50000;45
609;10;ICE;200000000;50000;60
610;10;ICE;200000000;60000;31
611;10;ICE;200000000;60000;45
612;10;ICE;200000000;60000;60
613;10;ICE;300000000;40001;31
614;10;ICE;300000000;40001;45
615;10;ICE;300000000;40001;60
616;10;ICE;300000000;50000;31
617;10;ICE;300000000;50000;45
618;10;ICE;300000000;50000;60
619;10;ICE;300000000;60000;31
620;10;ICE;300000000;60000;45
621;10;ICE;300000000;60000;60
622;10;ICE;100000000;40001;61
623;10;ICE;100000000;40001;75
624;10;ICE;100000000;40001;90
625;10;ICE;100000000;50000;61
626;10;ICE;100000000;50000;75
627;10;ICE;100000000;50000;90
628;10;ICE;100000000;60000;61
629;10;ICE;100000000;60000;75
630;10;ICE;100000000;60000;90
631;10;ICE;200000000;40001;61
632;10;ICE;200000000;40001;75
633;10;ICE;200000000;40001;90
634;10;ICE;200000000;50000;61
635;10;ICE;200000000;50000;75
636;10;ICE;200000000;50000;90
637;10;ICE;200000000;60000;61
638;10;ICE;200000000;60000;75
639;10;ICE;200000000;60000;90
640;10;ICE;300000000;40001;61
641;10;ICE;300000000;40001;75
642;10;ICE;300000000;40001;90
643;10;ICE;300000000;50000;61
644;10;ICE;300000000;50000;75
645;10;ICE;300000000;50000;90
646;10;ICE;300000000;60000;61
647;10;ICE;300000000;60000;75
648;10;ICE;300000000;60000;90
649;10;ICE_STONE;20;1;1
650;10;ICE_STONE;20;1;15
651;10;ICE_STONE;20;1;30
652;10;ICE_STONE;20;10000;1
653;10;ICE_STONE;20;10000;15
654;10;ICE_STONE;20;10000;30
655;10;ICE_STONE;20;20000;1
656;10;ICE_STONE;20;20000;15
657;10;ICE_STONE;20;20000;30
658;10;ICE_STONE;510;1;1
659;10;ICE_STONE;510;1;15
660;10;ICE_STONE;510;1;30
661;10;ICE_STONE;510;10000;1
662;10;ICE_STONE;510;10000;15
663;10;ICE_STONE;510;10000;30
664;10;ICE_STONE;510;20000;1
665;10;ICE_STONE;510;20000;15
666;10;ICE_STONE;510;20000;30
667;10;ICE_STONE;1000;1;1
668;10;ICE_STONE;1000;1;15
669;10;ICE_STONE;1000;1;30
670;10;ICE_STONE;1000;10000;1
671;10;ICE_STONE;1000;10000;15
672;10;ICE_STONE;1000;10000;30
673;10;ICE_STONE;1000;20000;1
674;10;ICE_STONE;1000;20000;15
675;10;ICE_STONE;1000;20000;30
676;10;ICE_STONE;20;1;31
677;10;ICE_STONE;20;1;45
678;10;ICE_STONE;20;1;60
679;10;ICE_STONE;20;10000;31
680;10;ICE_STONE;20;10000;45
681;10;ICE_STONE;20;10000;60
682;10;ICE_STONE;20;20000;31
683;10;ICE_STONE;20;20000;45
684;10;ICE_STONE;20;20000;60
685;10;ICE_STONE;510;1;31
686;10;ICE_STONE;510;1;45
687;10;ICE_STONE;510;1;60
688;10;ICE_STONE;510;10000;31
689;10;ICE_STONE;510;10000;45
690;10;ICE_STONE;510;10000;60
691;10;ICE_STONE;510;20000;31
692;10;ICE_STONE;510;20000;45
693;10;ICE_STONE;510;20000;60
694;10;ICE_STONE;1000;1;31
695;10;ICE_STONE;1000;1;45
696;10;ICE_STONE;1000;1;60
697;10;ICE_STONE;1000;10000;31
698;10;ICE_STONE;1000;10000;45
699;10;ICE_STONE;1000;10000;60
700;10;ICE_STONE;1000;20000;31
701;10;ICE_STONE;1000;20000;45
702;10;ICE_STONE;1000;20000;60
703;10;ICE_STONE;20;1;61
704;10;ICE_STONE;20;1;75
705;10;ICE_STONE;20;1;90
706;10;ICE_STONE;20;10000;61
707;10;ICE_STONE;20;10000;75
708;10;ICE_STONE;20;10000;90
709;10;ICE_STONE;20;20000;61
710;10;ICE_STONE;20;20000;75
711;10;ICE_STONE;20;20000;90
712;10;ICE_STONE;510;1;61
713;10;ICE_STONE;510;1;75
714;10;ICE_STONE;510;1;90
715;10;ICE_STONE;510;10000;61
716;10;ICE_STONE;510;10000;75
717;10;ICE_STONE;510;10000;90
718;10;ICE_STONE;510;20000;61
719;10;ICE_STONE;510;20000;75
720;10;ICE_STONE;510;20000;90
721;10;ICE_STONE;1000;1;61
722;10;ICE_STONE;1000;1;75
723;10;ICE_STONE;1000;1;90
724;10;ICE_STONE;1000;10000;61
725;10;ICE_STONE;1000;10000;75
726;10;ICE_STONE;1000;10000;90
727;10;ICE_STONE;1000;20000;61
728;10;ICE_STONE;1000;20000;75
729;10;ICE_STONE;1000;20000;90
730;10;ICE_STONE;20;20001;1
731;10;ICE_STONE;20;20001;15
732;10;ICE_STONE;20;20001;30
733;10;ICE_STONE;20;30000;1
734;10;ICE_STONE;20;30000;15
735;10;ICE_STONE;20;30000;30
736;10;ICE_STONE;20;40000;1
737;10;ICE_STONE;20;40000;15
738;10;ICE_STONE;20;40000;30
739;10;ICE_STONE;510;20001;1
740;10;ICE_STONE;510;20001;15
741;10;ICE_STONE;510;20001;30
742;10;ICE_STONE;510;30000;1
743;10;ICE_STONE;510;30000;15
744;10;ICE_STONE;510;30000;30
745;10;ICE_STONE;510;40000;1
746;10;ICE_STONE;510;40000;15
747;10;ICE_STONE;510;40000;30
748;10;ICE_STONE;1000;20001;1
749;10;ICE_STONE;1000;20001;15
750;10;ICE_STONE;1000;20001;30
751;10;ICE_STONE;1000;30000;1
752;10;ICE_STONE;1000;30000;15
753;10;ICE_STONE;1000;30000;30
754;10;ICE_STONE;1000;40000;1
755;10;ICE_STONE;1000;40000;15
756;10;ICE_STONE;1000;40000;30
757;10;ICE_STONE;20;20001;31
758;10;ICE_STONE;20;20001;45
759;10;ICE_STONE;20;20001;60
760;10;ICE_STONE;20;30000;31
761;10;ICE_STONE;20;30000;45
762;10;ICE_STONE;20;30000;60
763;10;ICE_STONE;20;40000;31
764;10;ICE_STONE;20;40000;45
765;10;ICE_STONE;20;40000;60
766;10;ICE_STONE;510;20001;31
767;10;ICE_STONE;510;20001;45
768;10;ICE_STONE;510;20001;60
769;10;ICE_STONE;510;30000;31
770;10;ICE_STONE;510;30000;45
771;10;ICE_STONE;510;30000;60
772;10;ICE_STONE;510;40000;31
773;10;ICE_STONE;510;40000;45
774;10;ICE_STONE;510;40000;60
775;10;ICE_STONE;1000;20001;31
776;10;ICE_STONE;1000;20001;45
777;10;ICE_STONE;1000;20001;60
778;10;ICE_STONE;1000;30000;31
779;10;ICE_STONE;1000;30000;45
780;10;ICE_STONE;1000;30000;60
781;10;ICE_STONE;1000;40000;31
782;10;ICE_STONE;1000;40000;45
783;10;ICE_STONE;1000;40000;60
784;10;ICE_STONE;20;20001;61
785;10;ICE_STONE;20;20001;75
786;10;ICE_STONE;20;20001;90
787;10;ICE_STONE;20;30000;61
788;10;ICE_STONE;20;30000;75
789;10;ICE_STONE;20;30000;90
790;10;ICE_STONE;20;40000;61
791;10;ICE_STONE;20;40000;75
792;10;ICE_STONE;20;40000;90
793;10;ICE_STONE;510;20001;61
794;10;ICE_STONE;510;20001;75
795;10;ICE_STONE;510;20001;90
796;10;ICE_STONE;510;30000;61
797;10;ICE_STONE;510;30000;75
798;10;ICE_STONE;510;30000;90
799;10;ICE_STONE;510;40000;61
800;10;ICE_STONE;510;40000;75
801;10;ICE_STONE;510;40000;90
802;10;ICE_STONE;1000;20001;61
803;10;ICE_STONE;1000;20001;75
804;10;ICE_STONE;1000;20001;90
805;10;ICE_STONE;1000;30000;61
806;10;ICE_STONE;1000;30000;75
807;10;ICE_STONE;1000;30000;90
808;10;ICE_STONE;1000;40000;61
809;10;ICE_STONE;1000;40000;75
810;10;ICE_STONE;1000;40000;90
811;10;ICE_STONE;20;40001;1
812;10;ICE_STONE;20;40001;15
813;10;ICE_STONE;20;40001;30
814;10;ICE_STONE;20;50000;1
815;10;ICE_STONE;20;50000;15
816;10;ICE_STONE;20;50000;30
817;10;ICE_STONE;20;60000;1
818;10;ICE_STONE;20;60000;15
819;10;ICE_STONE;20;60000;30
820;10;ICE_STONE;510;40001;1
821;10;ICE_STONE;510;40001;15
822;10;ICE_STONE;510;40001;30
823;10;ICE_STONE;510;50000;1
824;10;ICE_STONE;510;50000;15
825;10;ICE_STONE;510;50000;30
826;10;ICE_STONE;510;60000;1
827;10;ICE_STONE;510;60000;15
828;10;ICE_STONE;510;60000;30
829;10;ICE_STONE;1000;40001;1
830;10;ICE_STONE;1000;40001;15
831;10;ICE_STONE;1000;40001;30
832;10;ICE_STONE;1000;50000;1
833;10;ICE_STONE;1000;50000;15
834;10;ICE_STONE;1000;50000;30
835;10;ICE_STONE;1000;60000;1
836;10;ICE_STONE;1000;60000;15
